_id,psuedocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,func_boys_cwsn_friendly,func_girls_cwsn_friendly,urinal_boys,urinla_girls,handwash_near_toilet,drinking_water_available,drinking_water_functional,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,playground_available,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,ict_lab,laptop,tablet,desktop,digiboard,projector,printer,internet,dth
1,2796994,2,4,4,1,20,12,20,0,0,1,3,3,3,3,0,0,3,3,1,1,1,1,1,1,1,1,1,1,1,1,250,2,0,0,0,0,0,0,1,2
2,6177684,1,1,1,1,12,5,12,0,0,1,4,4,4,4,0,0,0,0,1,1,1,1,1,1,2,2,1,2,2,9,150,9,0,0,0,0,0,0,2,2
3,8274255,1,4,4,1,8,3,10,0,0,1,6,6,8,8,2,2,8,0,1,1,1,2,1,1,2,1,2,2,2,9,250,9,1,0,6,0,0,1,1,2
4,8006958,1,4,4,1,20,43,43,0,0,1,3,3,3,3,1,1,1,5,1,1,1,1,2,1,1,1,1,2,1,2,2000,9,5,50,100,39,39,10,1,2
5,5469337,1,4,4,5,16,0,16,0,0,1,8,8,8,8,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,9,254,9,1,0,1,0,0,1,1,2
6,9409743,3,2,2,1,9,13,9,0,0,1,5,5,5,5,0,0,0,0,1,1,1,1,2,1,2,1,2,1,2,9,110,9,0,0,5,0,0,1,2,2
7,9819631,1,2,2,1,24,26,26,0,0,1,20,20,20,20,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,537,1,5,19,22,2,10,5,1,2
8,7204166,1,1,1,1,10,13,10,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,32,1,0,0,0,0,0,0,2,2
9,7606465,1,5,5,1,10,0,10,0,0,1,6,6,7,7,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,9,230,9,0,0,0,0,0,0,1,2
10,1761744,1,4,1,1,4,4,4,0,0,1,6,6,6,6,0,0,6,6,1,1,1,2,1,1,2,1,2,1,1,1,93,9,7,9,9,0,1,1,1,2
11,7566146,1,1,1,1,4,1,4,0,0,1,1,1,1,1,0,0,0,0,1,1,1,2,1,1,2,2,2,2,2,9,15,9,0,0,0,0,0,0,2,2
12,6027349,1,5,5,1,8,5,8,0,0,1,6,6,7,7,0,0,0,0,1,1,1,2,1,1,2,1,1,2,2,9,570,9,0,0,1,0,0,1,1,2
13,5774096,1,2,2,1,30,10,32,0,0,1,10,10,10,10,2,2,24,24,1,1,1,1,1,1,2,1,1,1,2,9,1000,9,0,0,30,0,0,0,1,2
14,7592884,1,1,1,1,23,7,23,0,0,1,4,4,4,4,0,0,7,4,1,1,1,2,1,1,2,1,1,1,2,9,800,9,0,0,0,0,0,0,1,2
15,5106769,1,4,4,1,59,8,59,0,0,1,30,30,30,30,2,2,20,20,1,1,1,1,1,1,1,1,1,2,1,1,1800,9,10,0,135,0,16,4,1,2
16,6313434,1,4,4,2,14,3,14,0,0,1,4,4,4,4,0,0,4,4,1,1,1,1,1,1,2,1,1,1,1,1,37,9,0,0,0,0,0,0,2,2
17,3139133,1,3,3,1,46,11,46,0,0,1,32,32,35,35,0,0,61,58,1,1,1,1,1,1,2,1,1,1,2,9,2000,9,2,0,75,42,45,10,1,2
18,9748284,2,2,2,5,12,8,12,0,0,1,2,2,2,2,2,2,6,2,1,1,1,1,2,1,2,1,1,2,2,9,400,9,0,0,25,0,0,4,1,2
19,4933138,2,4,4,1,12,13,12,0,0,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,2,2,9,150,9,0,0,0,0,0,0,1,2
20,6630731,1,1,1,1,7,2,7,0,0,1,2,2,2,2,0,0,2,1,1,1,1,1,1,1,2,1,2,1,2,9,91,9,0,0,0,0,0,0,1,2
21,1485203,1,30,30,1,18,12,18,0,0,1,3,3,6,6,3,0,2,2,1,1,1,1,1,1,1,1,1,1,2,9,344,9,2,1,8,0,0,2,1,2
22,4673575,1,4,4,1,30,7,30,0,0,1,16,16,16,16,0,0,15,15,1,1,1,1,1,1,1,1,1,2,1,2,200,1,3,0,15,1,1,3,1,2
23,5762833,2,1,1,1,2,4,6,0,0,1,4,4,11,11,0,0,14,0,1,1,1,1,1,1,1,1,1,2,2,9,54,9,0,0,0,0,0,0,1,2
24,8595986,1,2,2,5,7,0,7,0,0,1,2,2,2,2,0,0,0,0,2,1,1,1,1,1,1,1,1,2,2,9,0,9,0,0,0,0,0,0,2,2
25,5033389,1,1,1,1,9,1,9,0,0,1,1,1,1,1,0,0,2,2,1,1,1,1,1,1,2,2,2,1,2,9,50,9,0,0,0,0,0,0,2,2
26,7558636,1,4,4,1,8,0,8,0,0,1,3,1,3,1,0,0,0,0,1,1,1,1,1,1,1,1,2,1,2,9,600,9,0,0,0,0,0,0,1,2
27,3954581,2,4,2,1,48,10,49,0,0,1,15,10,15,10,0,0,20,14,1,1,1,1,1,1,1,1,1,1,1,1,150,9,3,0,25,9,24,5,1,2
28,3123926,1,2,2,1,18,7,18,0,0,1,5,5,5,5,0,0,0,0,1,1,1,2,1,1,2,1,1,1,2,9,650,9,0,0,0,0,0,0,1,2
29,7898876,1,12,15,1,12,15,15,0,0,1,3,3,3,3,0,0,3,3,1,1,1,1,1,1,1,1,1,1,1,1,45,9,0,0,0,0,0,0,1,2
30,7898385,1,4,4,1,12,9,13,0,0,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,1,1,2,1,2,9,0,9,0,0,0,0,0,0,1,2
31,6604974,2,1,1,5,8,1,7,0,0,1,7,7,7,7,0,0,5,5,1,1,1,1,1,1,1,1,2,1,2,9,133,9,0,0,0,0,0,0,2,2
32,3680854,1,2,2,1,21,11,21,0,0,1,2,2,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,9,1,9,1,1,1,1,1,1,1,2
33,4263989,3,4,4,1,58,10,58,0,0,1,12,12,12,12,1,1,15,15,1,1,1,1,1,1,2,1,1,1,1,1,2500,1,0,0,80,0,10,10,1,2
34,5357136,2,4,4,1,15,5,15,0,0,1,3,3,3,3,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,9,0,9,0,0,10,0,1,1,1,2
35,1074247,1,2,2,1,6,5,6,0,0,1,4,4,3,3,0,0,5,2,1,1,1,2,1,1,2,1,1,1,2,9,71,9,0,0,0,0,1,1,1,2
36,6271007,1,1,1,1,7,2,7,0,0,1,3,3,3,3,0,0,0,0,1,1,1,2,1,1,2,1,1,1,2,9,278,9,0,0,0,0,1,0,2,2
37,5481397,1,1,1,1,8,3,8,0,0,1,1,1,1,1,0,0,2,2,1,1,1,2,1,1,2,1,1,2,1,1,100,9,1,1,7,0,1,1,1,2
38,3421644,2,4,4,1,16,15,16,0,0,1,5,5,3,3,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,9,500,9,2,0,8,0,1,1,1,2
39,9018734,2,1,1,1,3,6,3,0,0,1,2,2,2,2,0,0,2,2,1,1,1,1,1,1,2,1,1,1,1,2,30,9,0,0,0,0,0,0,2,2
40,5337332,1,2,2,1,12,8,12,0,0,1,4,4,4,4,0,0,2,2,1,1,1,1,1,1,2,1,2,1,2,9,300,9,0,0,5,1,2,1,1,2
41,8253361,1,1,1,1,6,2,6,0,0,1,2,2,2,2,0,0,0,0,2,1,1,1,1,1,1,1,1,1,2,9,174,9,1,0,1,1,1,1,1,2
42,1331316,1,1,1,1,13,6,13,0,0,1,3,3,3,3,0,0,16,16,1,1,1,1,2,1,2,1,2,2,2,9,500,9,0,0,0,0,0,0,1,2
43,2579586,2,1,1,1,4,0,4,0,0,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,1,1,1,1,2,9,70,9,0,0,0,0,0,0,1,2
44,7056985,1,3,3,1,5,0,5,0,0,1,2,2,2,2,0,0,0,0,1,1,1,2,2,1,2,1,2,2,2,9,100,9,0,0,0,0,0,0,1,2
45,3922622,1,1,1,1,4,0,4,0,0,1,4,4,4,4,0,0,0,0,2,1,1,1,1,1,1,2,2,2,2,9,0,9,0,0,0,0,0,0,2,2
46,1837187,1,1,1,1,10,8,10,0,0,1,2,2,2,2,0,0,20,0,1,1,1,2,1,1,2,1,1,1,2,9,600,9,0,0,0,0,0,0,1,2
