_id,psuedocode,state,district,rural_urban,assembly,parliamentary,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,highclass,managment,pincode,year_of_establishment,year_of_recognition_pr,year_of_recognition_up,year_of_recognition_sec,year_of_recognition_hsec,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_premises,anganwadi_boys,anganwadi_girls,anganwadi_worker,instr_days_pr,instr_days_up,instr_days_sec,instr_days_hsec,avg_school_hrs_student_pr,avg_school_hrs_student_up,avg_school_hrs_student_sec,avg_school_hrs_student_hsec,avg_school_hrs_teacher_pr,avg_school_hrs_teacher_up,avg_school_hrs_teacher_sec,avg_school_hrs_teacher_hsec,cce_pr,cce_up,cce_sec,cce_hsec
1,7606465,Karnataka,BENGALURU U NORTH,2,RAJAJI NAGAR,"",BBMP-Municipal Corporations,Ward No.97 (Dayananda Nagar),"","",2,3,1,7,4,560021,1953,1953,1953,0,0,2,2,3,0,2,16,0,0,0,0,0,2,2,2,0,0,9,248,248,0,0,6.00,6.00,0.00,0.00,6.30,6.30,0.00,0.00,1,1,9,9
2,1761744,Karnataka,BENGALURU U NORTH,2,RAJAJI NAGAR,"",BBMP-Municipal Corporations,Ward No.97 (Dayananda Nagar),"","",8,3,8,10,5,560021,1999,0,0,1999,0,2,2,3,0,2,19,0,0,0,2,0,1,9,9,0,0,0,0,0,220,0,0.00,0.00,6.00,0.00,0.00,0.00,7.00,0.00,9,9,1,9
3,6027349,Karnataka,BENGALURU U NORTH,2,RAJAJI NAGAR,"",BBMP-Municipal Corporations,Ward No.97 (Dayananda Nagar),"","",8,3,8,10,4,560021,1964,0,0,1964,0,2,2,3,0,2,19,0,0,0,2,0,1,9,0,0,0,9,0,0,213,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,9,1,9
4,5774096,Karnataka,BENGALURU U NORTH,2,RAJAJI NAGAR,"",BBMP-Municipal Corporations,Ward No.98 (Prakash Nagar),"","",6,3,1,10,5,560021,2002,2002,2007,2009,0,2,2,3,0,2,19,0,0,0,2,0,1,1,9,0,0,0,213,213,213,0,6.00,6.00,6.00,0.00,7.00,7.00,7.00,0.00,1,1,1,9
5,7592884,Karnataka,BENGALURU U NORTH,2,SARVAGNA NAGAR,"",BBMP-Municipal Corporations,Ward No.7 (Byatarayanapura),"","",6,3,1,10,5,560045,1994,2002,2004,2003,0,2,2,3,0,2,19,0,0,0,2,0,1,1,9,0,0,0,238,238,238,0,6.00,6.00,7.00,0.00,7.00,7.00,8.00,0.00,1,1,1,9
6,9819631,Karnataka,BENGALURU U NORTH,1,YESHWANTHPURA,"","","",Kadabagere,KADABAGERE,6,3,1,10,5,562130,2006,2006,2006,2008,0,2,2,3,0,2,19,5,4,0,1,0,1,1,9,0,0,0,240,240,240,0,7.00,7.00,7.00,0.00,8.00,8.00,8.00,0.00,2,1,1,9
7,7204166,Karnataka,BENGALURU U NORTH,2,DASARAHALLI,"",BBMP-Municipal Corporations,Ward No. 39 (Chokkasandra),"","",6,3,1,10,5,560073,1994,2000,2004,2008,0,2,2,3,0,2,19,0,0,0,2,0,1,1,9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,9
8,5106769,Karnataka,BENGALURU U NORTH,1,YELAHANKA,"","","",Machohalli,MACHOHALLI,3,3,1,12,5,560091,2009,2010,2010,2010,2014,2,2,3,0,2,19,5,4,0,1,1,1,1,9,0,0,0,200,205,220,220,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,1,1,1,1
9,5469337,Karnataka,BENGALURU U NORTH,2,PULIKESHINAGAR (SC),"",BBMP-Municipal Corporations,Ward No. 31 (Kushal Nagar),"","",6,3,1,10,5,560045,2014,2014,2017,2019,0,2,2,3,0,2,19,0,0,0,2,0,2,1,9,0,0,0,240,240,240,0,6.30,6.30,6.30,0.00,7.00,7.00,7.00,0.00,1,1,1,9
10,8274255,Karnataka,BENGALURU U NORTH,2,BYATARAYANAPURA,"",BBMP-Municipal Corporations,Ward No.61(SK Garden),"","",2,3,1,7,5,560046,1974,1974,1974,0,0,2,2,3,0,2,19,0,0,0,0,0,1,1,9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,9,9
