_id,psuedocode,total_teacher,male,female,transgender,regular,contract,part_time,below_graduate,graduate,post_graduate_and_above,total_teacher_trained_computer,class_taught_pr,class_taught_upr,class_taught_pr_upr,class_taught_sec_only,class_taught_hsec_only,class_taught_upr_sec,class_taught_sec_hsec,class_taugt_pre_primary_only,class_taught_pr_and_pre_pri,teachers_aged_above_55,teacher_received_service_training,teacher_involve_non_training_assignment,diploma_certificate,bachelor_of_ee,bed_equivalent,med_equivalent,other,none,diploma_special_edu,pursuing_rpc
1,2796994,22,9,13,0,22,0,0,1,11,10,20,5,3,0,14,0,0,0,0,0,0,0,0,1,1,14,0,0,0,6,0
2,7606465,7,0,7,0,7,0,0,7,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
3,1761744,5,1,4,0,5,0,0,0,3,2,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
4,6027349,10,1,9,0,10,0,0,2,4,4,1,0,0,0,10,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0
5,5774096,29,1,28,0,29,0,0,12,8,9,17,11,4,1,6,0,3,0,4,0,0,0,0,2,0,15,0,11,1,0,0
6,7592884,18,5,13,0,18,0,0,6,9,3,11,1,0,7,6,0,2,0,0,2,0,0,6,5,3,5,1,2,0,0,0
7,5106769,71,9,62,0,71,0,0,1,23,47,69,22,11,12,9,10,2,5,0,0,0,0,0,2,0,56,2,11,0,0,0
8,8274255,8,0,8,0,8,0,0,5,3,0,1,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0
9,8006958,41,0,41,0,41,0,0,4,35,2,3,13,3,5,3,0,11,0,4,2,0,0,0,0,0,29,1,11,0,0,0
10,6313434,5,0,5,0,5,0,0,0,5,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
11,3139133,65,14,51,0,65,0,0,1,24,40,63,9,1,26,9,15,0,0,5,0,0,0,0,2,0,41,5,11,6,0,0
12,9748284,11,2,9,0,11,0,0,3,6,2,11,5,1,1,3,0,0,0,0,1,0,0,0,1,0,8,0,1,0,1,0
13,4933138,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,4673575,22,5,17,0,22,0,0,8,10,4,15,11,3,1,7,0,0,0,0,0,0,0,2,6,1,12,0,0,0,2,0
15,5762833,7,0,7,0,7,0,0,0,1,6,2,0,0,0,7,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0
16,8595986,2,0,2,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
17,5033389,5,0,5,0,3,1,1,2,3,0,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1
18,7558636,8,0,8,0,8,0,0,4,4,0,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0
19,1485203,10,3,7,0,10,0,0,2,4,4,2,2,1,0,6,0,0,0,1,0,0,0,0,1,0,5,1,0,0,0,3
20,6271007,6,4,2,0,6,0,0,6,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
21,2768039,10,2,8,0,10,0,0,4,6,0,7,3,2,2,2,0,0,0,1,0,0,0,1,4,0,2,0,0,1,3,0
22,6122383,5,3,2,0,5,0,0,5,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
23,7409317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,9819631,19,1,18,0,19,0,0,0,15,4,19,5,1,3,9,0,0,0,1,0,0,0,18,2,1,12,0,0,0,0,1
25,7204166,8,3,5,0,8,0,0,0,2,6,0,0,3,0,5,0,0,0,0,0,0,0,0,2,0,5,0,0,0,1,0
26,5469337,6,2,4,0,6,0,0,2,4,0,1,0,0,4,0,0,1,0,1,0,0,0,0,0,1,5,0,0,0,0,0
27,9409743,10,7,3,0,1,9,0,0,4,6,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0
28,7566146,2,1,1,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
29,6630731,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,3954581,68,3,65,0,68,0,0,1,36,31,65,27,0,3,20,0,6,0,12,0,0,0,0,7,1,37,11,10,1,1,0
31,3123926,10,0,10,0,10,0,0,3,6,1,10,6,2,1,1,0,0,0,0,0,0,0,0,1,0,8,0,1,0,0,0
32,7898876,4,4,0,0,4,0,0,1,1,2,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0
33,7898385,13,1,12,0,13,0,0,3,7,3,2,6,0,2,1,0,3,0,1,0,0,0,0,2,0,5,0,6,0,0,0
34,6604974,3,2,1,0,3,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
35,3680854,12,0,12,0,12,0,0,1,10,1,1,4,1,4,3,0,0,0,0,0,0,0,0,10,1,1,0,0,0,0,0
36,4263989,54,15,39,0,54,0,0,1,18,35,51,17,0,0,18,1,1,17,0,0,0,0,0,6,0,30,12,3,1,2,0
37,5357136,14,0,14,0,14,0,0,1,6,7,14,7,0,0,1,0,6,0,0,0,0,0,0,0,2,7,1,3,1,0,0
38,8253361,5,1,4,0,5,0,0,4,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0
39,1331316,11,1,10,0,11,0,0,5,6,0,10,3,2,1,2,0,2,0,0,1,0,0,0,5,1,4,0,0,0,1,0
40,2579586,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,7056985,5,0,5,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
